matricula,ano,nota,frequencia,status,tipo
297,2021,88,100,Aprovado,TURMA
298,2018,88,96,Aprovado,TURMA
298,2019,0,0,Aprovado,EQUIVALENCIA
299,2015,55,96,Aprovado,TURMA
300,2020,83,100,Aprovado,TURMA
301,2017,3,93,R-nota,TURMA
301,2017,35,93,R-nota,TURMA
301,2018,51,96,Aprovado,TURMA
301,2020,0,0,Aprovado,EQUIVALENCIA
302,2019,27,90,R-nota,TURMA
302,2019,90,80,Aprovado,TURMA
303,2018,87,96,Aprovado,TURMA
303,2019,0,0,Aprovado,EQUIVALENCIA
304,2019,98,90,Aprovado,TURMA
305,2019,70,100,Aprovado,TURMA
306,2020,90,100,Aprovado,TURMA
306,2020,0,0,Cancelado,TURMA
307,2016,82,96,Aprovado,TURMA
308,2015,62,86,Aprovado,TURMA
309,2020,0,0,Aprovado,EQUIVALENCIA
310,2020,92,100,Aprovado,TURMA
311,2022,5,25,R-freq,TURMA
311,2022,0,0,Matriculado,TURMA
312,2021,0,74,R-freq,TURMA
313,2018,100,93,Aprovado,TURMA
313,2019,0,0,Aprovado,EQUIVALENCIA
314,2020,60,100,Aprovado,TURMA
315,2021,71,100,Aprovado,TURMA
316,2017,29,100,R-nota,TURMA
316,2017,72,86,Aprovado,TURMA
316,2020,0,0,Aprovado,EQUIVALENCIA
317,2019,80,100,Aprovado,TURMA
318,2022,74,100,Aprovado,TURMA
319,2018,19,100,R-nota,TURMA
319,2018,75,96,Aprovado,TURMA
319,2019,0,0,Aprovado,EQUIVALENCIA
320,2019,93,93,Aprovado,TURMA
321,2019,70,100,Aprovado,TURMA
322,2018,10,96,R-nota,TURMA
322,2018,50,86,Aprovado,TURMA
322,2019,0,0,Aprovado,EQUIVALENCIA
323,2017,38,100,R-nota,TURMA
323,2017,95,100,Aprovado,TURMA
323,2019,0,0,Aprovado,EQUIVALENCIA
324,2016,76,96,Aprovado,TURMA
325,2021,0,0,Cancelado,TURMA
325,2021,85,100,Aprovado,TURMA
326,2022,69,100,Aprovado,TURMA
327,2019,75,100,Aprovado,TURMA
328,2022,90,100,Aprovado,TURMA
329,2015,51,100,Aprovado,TURMA
330,2019,70,100,Aprovado,TURMA
331,2019,0,0,Aprovado,EQUIVALENCIA
332,2021,71,100,Aprovado,TURMA
333,2019,51,100,Aprovado,TURMA
334,2020,94,100,Aprovado,TURMA
335,2013,47,100,R-nota,TURMA
335,2013,79,90,Aprovado,TURMA
336,2016,70,90,Aprovado,TURMA
337,2016,51,100,Aprovado,TURMA
338,2019,71,100,Aprovado,TURMA
339,2017,71,100,Aprovado,TURMA
339,2019,0,0,Aprovado,EQUIVALENCIA
340,2019,0,0,Aprovado,EQUIVALENCIA
341,2015,0,0,Aprovado,EQUIVALENCIA
342,2017,82,100,Aprovado,TURMA
343,2021,0,0,Matriculado,TURMA
344,2019,62,83,Aprovado,TURMA
345,2022,0,0,Matriculado,TURMA
346,2019,81,100,Aprovado,TURMA
347,2019,69,100,Aprovado,TURMA
348,2019,73,100,Aprovado,TURMA
349,2020,86,100,Aprovado,TURMA
350,2021,0,0,Cancelado,TURMA
350,2021,0,100,R-nota,TURMA
350,2022,0,54,R-freq,TURMA
350,2022,0,0,Matriculado,TURMA
351,2019,14,100,R-nota,TURMA
351,2019,21,90,R-nota,TURMA
352,2015,34,100,R-nota,TURMA
352,2015,80,80,Aprovado,TURMA
353,2017,87,100,Aprovado,TURMA
353,2019,0,0,Aprovado,EQUIVALENCIA
354,2014,0,66,R-freq,TURMA
354,2014,51,85,Aprovado,TURMA
355,2016,90,100,Aprovado,TURMA
356,2016,67,100,Aprovado,TURMA
357,2017,86,100,Aprovado,TURMA
357,2019,0,0,Aprovado,EQUIVALENCIA
358,2020,92,80,Aprovado,TURMA
359,2021,5,75,R-nota,TURMA
360,2021,0,74,R-freq,TURMA
360,2021,92,90,Aprovado,TURMA
361,2015,6,96,R-nota,TURMA
361,2015,99,90,Aprovado,TURMA
362,2022,78,100,Aprovado,TURMA
363,2017,63,93,Aprovado,TURMA
363,2019,0,0,Aprovado,EQUIVALENCIA
364,2022,76,100,Aprovado,TURMA
365,2022,89,94,Aprovado,TURMA
366,2021,0,0,Cancelado,TURMA
367,2018,72,100,Aprovado,TURMA
367,2019,0,0,Aprovado,EQUIVALENCIA
368,2021,0,0,Cancelado,TURMA
368,2021,0,0,R-freq,TURMA
369,2022,93,97,Aprovado,TURMA
370,2017,100,96,Aprovado,TURMA
371,2022,87,100,Aprovado,TURMA
372,2012,0,16,R-freq,TURMA
372,2012,31,100,R-nota,TURMA
372,2013,59,93,Aprovado,TURMA
373,2022,99,100,Aprovado,TURMA
374,2018,72,93,Aprovado,TURMA
374,2019,0,0,Aprovado,EQUIVALENCIA
375,2016,71,93,Aprovado,TURMA
376,2016,0,0,Aprovado,EQUIVALENCIA
377,2021,45,100,R-nota,TURMA
377,2021,98,90,Aprovado,TURMA
378,2019,75,100,Aprovado,TURMA
379,2017,72,100,Aprovado,TURMA
379,2019,0,0,Aprovado,EQUIVALENCIA
380,2021,87,100,Aprovado,TURMA
381,2021,23,100,R-nota,TURMA
381,2021,34,97,R-nota,TURMA
381,2022,81,100,Aprovado,TURMA
382,2022,84,100,Aprovado,TURMA
383,2020,0,0,Cancelado,TURMA
383,2021,0,80,R-nota,TURMA
383,2021,10,100,R-nota,TURMA
383,2022,8,75,R-nota,TURMA
384,2020,86,100,Aprovado,TURMA
385,2022,55,100,Aprovado,TURMA
386,2018,88,100,Aprovado,TURMA
386,2019,0,0,Aprovado,EQUIVALENCIA
387,2017,73,100,Aprovado,TURMA
387,2019,0,0,Aprovado,EQUIVALENCIA
388,2021,63,100,Aprovado,TURMA
389,2017,18,86,R-nota,TURMA
389,2017,15,33,R-freq,TURMA
389,2018,77,76,Aprovado,TURMA
389,2019,0,0,Aprovado,EQUIVALENCIA
390,2017,0,0,Aprovado,EQUIVALENCIA
390,2019,0,0,Aprovado,EQUIVALENCIA
391,2016,0,0,Aprovado,EQUIVALENCIA
392,2020,92,100,Aprovado,TURMA
393,2022,81,97,Aprovado,TURMA
394,2022,70,100,Aprovado,TURMA
395,2019,70,96,Aprovado,TURMA
396,2019,83,83,Aprovado,TURMA
397,2022,76,100,Aprovado,TURMA
398,2015,75,90,Aprovado,TURMA
399,2020,97,100,Aprovado,TURMA
400,2017,31,86,R-nota,TURMA
400,2017,85,100,Aprovado,TURMA
400,2019,0,0,Aprovado,EQUIVALENCIA
401,2020,75,100,Aprovado,TURMA
401,2020,43,100,R-nota,TURMA
402,2016,50,86,Aprovado,TURMA
403,2015,70,100,Aprovado,TURMA
404,2016,86,100,Aprovado,TURMA
405,2021,70,100,Aprovado,TURMA
406,2017,92,100,Aprovado,TURMA
406,2019,0,0,Aprovado,EQUIVALENCIA
407,2014,70,93,Aprovado,TURMA
408,2021,81,100,Aprovado,TURMA
409,2021,71,100,Aprovado,TURMA
410,2019,70,86,Aprovado,TURMA
411,2021,80,100,Aprovado,TURMA
412,2021,3,50,R-freq,TURMA
413,2018,54,83,Aprovado,TURMA
413,2019,0,0,Aprovado,EQUIVALENCIA
414,2022,29,100,R-nota,TURMA
415,2019,53,100,Aprovado,TURMA
416,2019,38,96,R-nota,TURMA
416,2019,58,86,Aprovado,TURMA
417,2022,11,90,R-nota,TURMA
417,2022,0,0,Matriculado,TURMA
418,2020,20,100,R-nota,TURMA
418,2021,12,100,R-nota,TURMA
418,2022,6,67,R-freq,TURMA
418,2022,0,0,Matriculado,TURMA
419,2022,84,100,Aprovado,TURMA
420,2021,53,100,Aprovado,TURMA
421,2021,96,100,Aprovado,TURMA
422,2017,81,100,Aprovado,TURMA
423,2021,0,0,R-freq,TURMA
424,2021,6,80,R-nota,TURMA
424,2021,80,100,Aprovado,TURMA
425,2018,0,66,R-freq,TURMA
425,2018,16,66,R-freq,TURMA
425,2019,16,36,R-freq,TURMA
425,2019,29,75,R-nota,TURMA
425,2020,0,0,R-freq,TURMA
425,2020,0,0,Cancelado,TURMA
425,2022,0,0,Matriculado,TURMA
426,2017,93,100,Aprovado,TURMA
427,2017,31,100,R-nota,TURMA
427,2017,95,93,Aprovado,TURMA
427,2020,0,0,Aprovado,EQUIVALENCIA
428,2018,70,93,Aprovado,TURMA
428,2019,0,0,Aprovado,EQUIVALENCIA
