Consulta 1: Todas as escolas com suas cidades e telefones ;
codigo|nome|cod_municipio|endereco|compl_endereco|bairro|cod_loc_dif|cod_escola|ddd|numero|codigo|nome|uf
11064803|CMEI SONHO DE CRIANCA|1100023|RUA UMUARAMA||SETOR 09|0||||1100023|Ariquemes|RO
11108800|IFRO - CAMPUS ARIQUEMES|1100023|AREA RURAL|RO 257 KM 13|AREA RURAL DE ARIQUEMES|0||||1100023|Ariquemes|RO
11033924|CEEJA 6 DE JULHO|1100031|AV. TAPAJOS||CENTRO|0||||1100031|Cabixi|RO
11034033|EMEI CEBOLINHA|1100031|AVENIDA TAPAJOS|PREDIO|CENTRO|0||||1100031|Cabixi|RO
11034041|EMEIEF CECILIA MEIRELES|1100031|LINHA 8 RUMO COLORADO|PREDIO CEDIDO|RURAL|0||||1100031|Cabixi|RO
11034050|EEEF CHICO MENDES|1100031|LINHA 09 KM 16 RUMO ESCONDIDO|ESTRELA DO OESTE|ZONA RURAL|0||||1100031|Cabixi|RO
11034173|EMEIEF MARCO IRIS|1100031|LINHA 9 KM 16 2ª EIXO RUMO ESCONDIDO|PREDIO CEDIDO|ZONA RURAL|0||||1100031|Cabixi|RO
11034270|EEEFM PLANALTO|1100031|LINHA 8 KM 14 |SN|PLANALTO SAO LUIZ|0||||1100031|Cabixi|RO
11034440|EEEFM JOSE DE ANCHIETA|1100031|AVENIDA GUARANI||CENTRO|0||||1100031|Cabixi|RO
11039841|EMEIEF CHICO SOLDADO|1100031|AVENIDA TAPAJOS|PREDIO PROPRIO|CENTRO|0||||1100031|Cabixi|RO
11050098|ESCOLA DE ENSINO ESPECIAL PROFESSORA LUCELAINE DA SILVEIRA - APAE|1100031|AVENIDA TUPINIQUINS||CENTRO|0||||1100031|Cabixi|RO
11025670|CENTRO EDUCACIONAL MEMORINA ROSA CAMPOS|1100049|RUA JOSE DO PATROCINIO||JARDIM ELDORADO|0||||1100049|Cacoal|RO
11025697|CEEJA AIDA FIBIGER DE OLIVEIRA|1100049|AVENIDA SAO PAULO||CENTRO|0||||1100049|Cacoal|RO
11025999|EMEIEF ANITA GARIBALDI|1100049|AREA RURAL LINHA 12||GLEBA 11|0||||1100049|Cacoal|RO
11026014|EEEFM ANTONIO GONCALVES DIAS|1100049|RUA SANTO ANTONIO|ESCOLAR|SANTO ANTONIO|0||||1100049|Cacoal|RO
11026073|COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM IX|1100049|RUA DOS SURUIS||TEIXEIRAO|0||||1100049|Cacoal|RO
11026197|EEEFM CARLOS DRUMMOND DE ANDRADE|1100049|RUA BASILIO DA GAMA|PREDIO ESCOLAR|VISTA ALEGRE|0||||1100049|Cacoal|RO
11026235|EMTIEIEF CLAUDIO MANOEL DA COSTA|1100049|RODOVIA 383 KM 05 LOTE 26 GLEBA 05|ESCOLA|ZONA RURAL|0||||1100049|Cacoal|RO
11026278|EEEFM CORA CORALINA|1100049|RUA JOSE DO PATROCINIO||CENTRO|0||||1100049|Cacoal|RO
11026294|EMEIEF CRUZEIRO DO NORTE|1100049|AREA RURAL LINHA 21| LOTE 48||0||||1100049|Cacoal|RO
11026324|ESCOLA DANIEL BERG|1100049|AVENIDA SAO PAULO||CENTRO|0||||1100049|Cacoal|RO
11026367|EMEIEF DR JOAO DE DEUS SIMPLICIO|1100049|LINHA 14 GLEBA 13 LOTE 33||RURAL|0||||1100049|Cacoal|RO
11026464|EEEF FREI CANECA|1100049|RUA EITOR OZIAS SCHUNDT||VILLAGE DO SOL II|0||||1100049|Cacoal|RO
11026499|EEEFM GRACILIANO RAMOS|1100049|RUA PROFESSORA MARIA LUCIA DA SILVA MILLER||RESIDENCIAL PARQUE BRIZON|0||||1100049|Cacoal|RO
11026545|EEEFM HONORINA LUCAS DE BRITO|1100049|RUA PADRE MANOEL DA NOBREGA||NOVA ESPERANCA|0||||1100049|Cacoal|RO
11026588|EIEEFM IZIDORO DE SOUZA MEIRELES|1100049|RUA ANTONIO DE PAULA NUNES|CRE CACOAL|CENTRO|2||||1100049|Cacoal|RO
11026626|EEEFM PAULO FREIRE|1100049|RUA MARIA AURORA DO NASCIMENTO||TEIXEIRAO|0||||1100049|Cacoal|RO
11026685|EMEIEF JOSE MAURO DE VASCONCELOS|1100049|AREA RURAL LINHA E LOTE 95 GLEBA 04 SETOR PROSPERIDADE|ESCOLA|AREA RURAL DE CACOAL|0||||1100049|Cacoal|RO
11026758|EEEFM MARIA AURORA DO NASCIMENTO|1100049|TRAVESSA ANCHIETA||LIBERDADE|0||||1100049|Cacoal|RO
11026766|EMEIEF MARIA MONTESSORI|1100049|LINHA 10 GLEBA 10 LOTE 58|ZONA RURAL|AREA RURAL DE CACOAL|0||||1100049|Cacoal|RO
11026812|EMEIEF MONTEIRO LOBATO|1100049|LINHA 11 LOTE 25 GLEBA 10|ESCOLA|RURAL|0||||1100049|Cacoal|RO
